1,540,402,0110101000,0100011
2,540,402,0011001010,0010011
3,720,322,1101101100,0000011
4,540,402,0110101110,0000011
5,480,0,0010101101,1000011
6,540,402,0110110110,0100001
7,420,402,0101100101,0000011
8,240,402,1001100100,1000000
9,540,467,1111011101,0100010
10,540,0,0101101101,0010000
11,540,322,1011010101,0000000
12,720,402,1101101100,0000000
13,480,402,0110101110,1000100
14,420,563,0010101101,0000011
15,240,322,0110110110,0000011
16,540,483,0101100101,0000011
17,540,483,1001100100,0000011
18,540,402,1111011101,0000011
19,720,322,0101101101,0000011
20,540,161,1111111111,0000011
